he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
שפסלו (SFSLV):	shepaslu	['shepsalo']
האקס (HQS):	heks	['heks']
החביאן (HCHVYN):	hakhavian	['hekhbian']
וילפת (VYLFT):	vilefet	['vayilafet', 'vayilpot']
קונצ׳יטה (QVNTSHYTH):	konchiyta	['konchyta']
הגניחות (HGNYCHVT):	hagnikhot	['hagnikhot']
דקטורה (DQTVRH):	diktura	['diktura']
פרטין (FRTYN):	pratin	['pratin']
בנינגלו (VNYNGLV):	bninglo	['bningalu']
מציאויות (MTZYVYVT):	mtsiuyot	['mtsiuyot']
בכתרה (VCHTRH):	bkitra	['bkitra', 'bkitrah']
ולא־היה (VL_HYH):	vlo-hayh	['vlo-hayh']
כי־שבו (CHY_SVV):	ki-shavu	['ki-shavu']
וידיעאל (VYDYL):	vidiel	['vidiael']
שיחיינו (SYCHYYNV):	sheykhayenu	['sykhayeinv']
החשמלית (HCHSMLYT):	hakhashmalit	['hksmalit']
לכבי (LCHVY):	lkabei	['lkabiya']
פטרות (FTRVT):	ptrot	['patarut']
באבן (VVN):	baban	['bevn', 'bhiban', 'baeven', 'bavn', 'boben', 'bhavn', 'beben', 'baevn', 'bivn', 'biban', 'baaven', 'baaivn']
וויטילה (VVYTYLH):	vivytila	['voytilh']
והסכר (VHSCHR):	vhaskar	['vhasukar']
שחרות (SCHRVT):	shakharut	['shhkhorot', 'shakharut']
ולא־דמו (VL_DMV):	vlo-damu	['vlo-damu']
לאוריק (LVRYQ):	lorik	['lorik']
מחבורה (MCHVVRH):	mekhavura	['mekhavura']
אאות (VT):	aut	['eot']
ישאו (YSV):	yishau	['yisaau', 'yisu', 'ysav', 'yisou', 'ysov', 'yisav', 'yisoau', 'yisaao', 'yisau']
באקויולנט (VQVYVLNT):	bakviulant	['bekvivalent']
דמשקופא (DMSQVF):	dmashkofa	['dmashkofa']
